Branch;ID;ParentID;Round;Card;Opponent;Select;Conf;PM;P0;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26
0;149053;101156;2;38;1;0;3e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666667
0;151685;101156;2;20;1;0;2e-05;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;155661;101156;2;15;1;0;2e-05;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;159183;101156;2;33;1;0;3e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0;0;0;0;0.333333
0;162140;101156;2;14;1;0;3e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0;0;0;0;0.333333;0;0
0;164544;101156;2;13;1;0;3e-05;0;0;0;0;0;0;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0;0;0
0;167429;101156;2;32;1;0;3e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0;0;0;0;0;0;0.333333;0;0;0;0
0;169740;101156;2;17;1;0;2e-05;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;172900;101156;2;29;1;1;2e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0
0;175966;101156;2;3;1;0;3e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666667;0;0;0;0;0;0
0;200003;172900;2;30;1;1;1.00001;0.000539995;0.0192598;0.0332797;0.0353296;0.0465895;0.0440296;0.0398796;0.0340197;0.0229198;0.0127299;0.00587994;0.00240998;0.000639994;0.000179998;0.0225998;0.0501595;0.0492895;0.0645194;0.0848491;0.0881591;0.0915391;0.0876991;0.0674693;0.0395096;0.0221498;0.00837992;0.00193998;0.0240398
0;200004;200003;2;36;0;0;0.0917;0;0.00196292;0.00316249;0.00283533;0.004253;0.00567067;0.00338059;0.00359869;0.00261723;0.00087241;0.00130862;0.000218103;0.000109051;0;0.0825518;0.118212;0.0964013;0.139695;0.138277;0.117884;0.108942;0.080807;0.0466739;0.0252999;0.0102508;0.00283533;0.000545256;0.00152672
0;200005;200003;2;26;0;1;0.90832;0.000594504;0.0210058;0.0363198;0.0386097;0.0508631;0.0479016;0.0435639;0.0370905;0.0249692;0.0139268;0.00634138;0.00263123;0.000693588;0.000198168;0.016547;0.0432887;0.0445328;0.0569293;0.0794544;0.0851572;0.0897811;0.088394;0.069568;0.0409437;0.0233508;0.00893958;0.00208076;0.0263123
0;200006;200005;2;28;1;0;0.02634;0.0015186;0.0117692;0.0410023;0.0410023;0.0516325;0.0580866;0.0470767;0.0463174;0.0280942;0.0205011;0.00759301;0.00493546;0.000379651;0.00113895;0.0113895;0.0421412;0.0497342;0.0596052;0.0774487;0.0854214;0.0751708;0.0865604;0.0637813;0.0334093;0.0223994;0.00835232;0.00113895;0.0220197
0;200008;200005;2;33;1;0;0.02627;0.000761325;0.0156072;0.0445375;0.0411115;0.0536734;0.0540541;0.0452988;0.0380662;0.031595;0.0205558;0.00837457;0.00494861;0.00190331;0.000380662;0.0171298;0.0487248;0.0498668;0.055196;0.0719452;0.0791778;0.0799391;0.0753711;0.0666159;0.0403502;0.0216978;0.00723258;0.000761325;0.0247431
0;200010;200005;2;42;1;0;0.0248;0;0.0383065;0.0370968;0.0532258;0.0693548;0.0487903;0.053629;0.0294355;0.0149194;0.00967742;0.00564516;0.0016129;0;0.000403226;0.0229839;0.0467742;0.0435484;0.0633065;0.0919355;0.0891129;0.0830645;0.083871;0.0483871;0.0245968;0.0125;0.00120968;0.000806452;0.0254032
0;200012;200005;2;46;1;0;0.02492;0;0.0337079;0.0425361;0.0425361;0.0613965;0.0565811;0.0597913;0.0341091;0.0192616;0.00882825;0.00561798;0;0.000401284;0;0.0244783;0.0349117;0.0413323;0.065008;0.0814607;0.0850722;0.101926;0.0826645;0.0461477;0.0333066;0.0160514;0.00120385;0.000802568;0.0204655
0;200014;200005;2;23;1;0;0.03365;0.00089153;0.0163447;0.033581;0.0306092;0.043685;0.0421991;0.0430906;0.0359584;0.023477;0.0121842;0.00624071;0.00267459;0.00089153;0;0.0142645;0.0430906;0.0380386;0.0564636;0.0731055;0.097474;0.0983655;0.0927192;0.0719168;0.0526003;0.0243685;0.0104012;0.00356612;0.0315007
0;200016;200005;2;40;1;0;0.02327;0;0.0399656;0.0438333;0.0593038;0.0773528;0.0571551;0.0386764;0.0339493;0.0150408;0.00601633;0.00214869;0;0;0;0.0232058;0.045982;0.0507091;0.0863773;0.0945423;0.0842286;0.0816502;0.072196;0.034379;0.0189085;0.00773528;0.00257843;0;0.0236356
0;200018;200005;2;2;1;0;0.03083;0.000973078;0.017191;0.0408693;0.0382744;0.0528706;0.0434642;0.0376257;0.0389231;0.0269218;0.0100551;0.00324359;0.00356795;0.00194616;0;0.0220564;0.0467078;0.0441129;0.0434642;0.0771975;0.0723321;0.0937399;0.0849822;0.0752514;0.0467078;0.028868;0.0100551;0.00324359;0.0350308
0;200020;200005;2;20;1;0;0.03179;0.000943693;0.0182447;0.0320856;0.0339729;0.0474992;0.0430953;0.0402642;0.0402642;0.0283108;0.0154137;0.00723498;0.00157282;0.000629129;0;0.0113243;0.0415225;0.0484429;0.0603964;0.0701478;0.0843032;0.0855615;0.0865052;0.0761246;0.0522177;0.0254797;0.0163573;0.000943693;0.0308273
0;200022;200005;2;3;1;0;0.03177;0.00157381;0.0179415;0.0336796;0.0324205;0.0465848;0.0525653;0.0456405;0.0361977;0.0226629;0.0110167;0.00535096;0.00314762;0.000629525;0.000314762;0.0204596;0.0535096;0.0424929;0.045011;0.0705068;0.0739692;0.0859301;0.0972616;0.0745987;0.0431224;0.02644;0.0141643;0.00283286;0.0396601
0;200024;200005;2;15;1;0;0.03104;0;0.0177191;0.0344716;0.0309278;0.0525129;0.0486469;0.0402706;0.0386598;0.0209407;0.0157861;0.00451031;0.00225515;0.00064433;0;0.0157861;0.0515464;0.0463918;0.0592784;0.089884;0.0834407;0.087951;0.0921392;0.0689433;0.033183;0.0241624;0.00934278;0.00289948;0.027384
0;200026;200005;2;37;1;0;0.0401;0.00074813;0.00922693;0.0304239;0.0261845;0.0394015;0.0331671;0.0296758;0.0239401;0.0206983;0.0084788;0.00349127;0.00174564;0.000498753;0;0.0149626;0.0558603;0.0625935;0.0765586;0.0902743;0.0970075;0.101496;0.100998;0.0790524;0.0413965;0.025187;0.0124688;0.00199501;0.0122195
0;200028;200005;2;34;1;0;0.02622;0;0.0190694;0.0419527;0.037376;0.0602593;0.0491991;0.0476735;0.0389016;0.0343249;0.0202136;0.0064836;0.00381388;0.00114416;0.000762777;0.01373;0.0415713;0.0503432;0.0602593;0.0789474;0.0781846;0.0823799;0.0823799;0.0621663;0.0335622;0.0183066;0.0106789;0.00228833;0.0236461
0;200030;200005;2;39;1;0;0.02348;0;0.0408859;0.0468484;0.0579216;0.0621806;0.0540886;0.0494037;0.0336457;0.016184;0.0072402;0.00340715;0.00127768;0;0;0.0255537;0.0498296;0.0498296;0.0681431;0.0826235;0.0945486;0.0915673;0.076661;0.0387564;0.0149063;0.00851789;0.000851789;0.000851789;0.0238501
0;200032;200005;2;44;1;0;0.02631;0;0.0395287;0.0391486;0.0402889;0.054732;0.0532117;0.0444698;0.0357279;0.0224249;0.00912201;0.00342075;0.0022805;0.000380084;0;0.0239453;0.0368681;0.0467503;0.063474;0.0976815;0.0847586;0.0957811;0.0828582;0.0554922;0.0296465;0.0144432;0.00266059;0.000760167;0.0197643
0;200034;200005;2;19;1;0;0.03351;0.00119367;0.0149209;0.032826;0.0325276;0.0441659;0.0435691;0.0402865;0.0396896;0.0223814;0.0113399;0.00746046;0.0032826;0.00179051;0.000596837;0.0146225;0.0417786;0.0435691;0.0543121;0.0728141;0.0808714;0.0898239;0.100567;0.0808714;0.0441659;0.0319308;0.0119367;0.00238735;0.0340197
0;200035;200005;2;27;1;0;0.02541;0.000393546;0.0181031;0.0377804;0.0460449;0.0594254;0.0523416;0.047619;0.0464384;0.0322708;0.0177096;0.00787092;0.0051161;0.000787092;0;0.0149547;0.0452578;0.0448642;0.0645415;0.0739866;0.0700512;0.0822511;0.0767414;0.0649351;0.0342385;0.0232192;0.00826446;0.00157418;0.0228257
0;200037;200005;2;9;1;0;0.03362;0.00208209;0.00951814;0.0336109;0.0324212;0.0377751;0.0487805;0.0392623;0.0368828;0.0318263;0.0175491;0.0121951;0.00386675;0.000297442;0.000297442;0.00773349;0.0368828;0.0365854;0.0362879;0.0636526;0.0832838;0.0874479;0.0945866;0.108566;0.0535396;0.03837;0.0142772;0.0035693;0.0285544
0;200039;200005;2;50;1;0;0.02711;0;0.0287717;0.0365179;0.0483217;0.047215;0.0435264;0.0527481;0.0457396;0.0243453;0.0184434;0.00885282;0.0011066;0.00147547;0;0.0151236;0.0287717;0.0335669;0.0427886;0.069716;0.0793065;0.102176;0.0933235;0.0745113;0.0468462;0.0236075;0.00405754;0.00405754;0.0247141
0;200041;200005;2;32;1;1;0.02623;0.000381243;0.0194434;0.0411742;0.0381243;0.0556615;0.0537552;0.0507053;0.0404117;0.0297369;0.0182997;0.00838734;0.0026687;0.00190621;0.000762486;0.0167747;0.0461304;0.0346931;0.0556615;0.0777735;0.0831109;0.0888296;0.0804422;0.069005;0.0354556;0.0152497;0.0106748;0.00381243;0.0205871
0;200044;200005;2;21;1;0;0.03163;0.00126462;0.0189693;0.0322479;0.036674;0.0471072;0.0464749;0.0376225;0.0392033;0.0287702;0.0126462;0.00758773;0.00252924;0.000632311;0.000316156;0.0132785;0.0373064;0.0423648;0.0502687;0.0784066;0.0910528;0.0847297;0.093582;0.0720835;0.0502687;0.0252924;0.0120139;0.00126462;0.0357256
0;200046;200005;2;51;1;0;0.02877;0;0.0281543;0.030935;0.0389294;0.0503997;0.0448384;0.0500521;0.0441432;0.0243309;0.0156413;0.00729927;0.00243309;0.000347584;0;0.0177268;0.030935;0.035106;0.057699;0.0656934;0.0778589;0.0966284;0.0976712;0.0712548;0.0552659;0.0243309;0.00486618;0.00243309;0.0246785
0;200047;200005;2;17;1;0;0.03127;0.000639591;0.0185481;0.0377358;0.0364567;0.0463703;0.0444515;0.043812;0.0383754;0.0252638;0.0143908;0.00511673;0.00159898;0.000319795;0;0.0172689;0.0396546;0.0402942;0.0495683;0.0757915;0.0847458;0.0869843;0.102015;0.0793092;0.039015;0.0236649;0.00991365;0.00287816;0.0354973
0;200049;200005;2;24;1;0;0.03213;0.000311236;0.0164955;0.031746;0.0351696;0.0479303;0.0466853;0.0438842;0.0339247;0.0248988;0.0133831;0.00778089;0.00311236;0.000933707;0;0.0143168;0.043573;0.0351696;0.0501089;0.0796763;0.0918145;0.087146;0.0837224;0.0890134;0.0544662;0.0252101;0.00809213;0.00186741;0.0292561
0;200051;200005;2;13;1;0;0.03043;0.000985869;0.0207033;0.0371344;0.040092;0.0473217;0.0433782;0.0486362;0.0315478;0.0276043;0.0141308;0.00591522;0.000657246;0.000657246;0;0.014788;0.0414065;0.04535;0.0522511;0.0696681;0.0851134;0.0946434;0.0930003;0.0729543;0.0410779;0.0249754;0.0108446;0.00295761;0.0318764
0;200052;200005;2;14;1;0;0.03155;0.000316957;0.022187;0.0332805;0.0402536;0.0507132;0.0450079;0.036767;0.0351822;0.0206022;0.0110935;0.00412044;0.0044374;0.000316957;0;0.01458;0.0424723;0.0405705;0.0586371;0.081775;0.0973059;0.0909667;0.096038;0.0662441;0.0374009;0.0288431;0.00729002;0.00126783;0.0320127
0;200055;200005;2;35;1;0;0.02649;0.000377501;0.017365;0.0422801;0.0335976;0.0498301;0.0551151;0.0486976;0.0479426;0.0294451;0.0203851;0.00906002;0.00377501;0.0011325;0.000377501;0.0162325;0.0385051;0.0441676;0.0592676;0.0864477;0.0838052;0.0743677;0.0830502;0.0626652;0.0362401;0.0222726;0.00981502;0.00377501;0.01963
0;200057;200005;2;49;1;0;0.02801;0;0.0285612;0.0317744;0.0360585;0.0560514;0.0492681;0.047483;0.0428418;0.0249911;0.0178508;0.00785434;0.00107105;0;0;0.0185648;0.0346305;0.0328454;0.0481971;0.0710461;0.0835416;0.0953231;0.101749;0.0656908;0.0481971;0.0278472;0.00428418;0.00178508;0.022135
0;200059;200005;2;31;1;0;0.02474;0.000404204;0.0210186;0.0424414;0.0501213;0.0573969;0.0610348;0.0432498;0.0375909;0.0339531;0.0206144;0.00606306;0.00404204;0;0.000404204;0.0129345;0.0489087;0.0497171;0.047696;0.0800323;0.0816492;0.0784155;0.0670978;0.0594179;0.0379951;0.0242522;0.00848828;0.00121261;0.0234438
0;200061;200005;2;38;1;0;0.04114;0.000729217;0.0119105;0.0255226;0.0257657;0.0323286;0.0350024;0.0284395;0.0228488;0.020175;0.0128828;0.00510452;0.00243072;0.000729217;0;0.0165289;0.0573651;0.0583374;0.0700049;0.101847;0.0984443;0.100146;0.0909091;0.0753525;0.0493437;0.0277103;0.0123967;0.00194458;0.0155566
0;200063;200005;2;45;1;0;0.02469;0;0.0311867;0.0441474;0.0514378;0.0648036;0.0534629;0.0461725;0.0380721;0.0206561;0.00850547;0.00607533;0.00121507;0.000405022;0;0.019036;0.0380721;0.0510328;0.0567031;0.0980154;0.0801944;0.0838396;0.0810045;0.0579182;0.0324018;0.0153908;0.00202511;0;0.017821
0;200065;200005;2;22;1;0;0.03109;0.000643294;0.0170473;0.031843;0.0402059;0.0447089;0.0479254;0.0440656;0.0369894;0.0286266;0.0141525;0.00707623;0.00385976;0;0.000643294;0.0151174;0.0402059;0.0421357;0.0517851;0.0697974;0.0836282;0.0981023;0.0797684;0.0788035;0.0456739;0.0250885;0.0167256;0.00289482;0.0321647
0;200072;200041;3;19;1;0;0.00123;0;0.0162602;0.0731707;0.0813008;0.0569106;0.0487805;0.0487805;0.0406504;0.00813008;0.0162602;0.00813008;0;0;0;0;0.0243902;0.0243902;0.0569106;0.0650406;0.0731707;0.0813008;0.105691;0.0650406;0.0243902;0.0325203;0.0325203;0.00813008;0
0;200147;200041;3;15;1;0;0.00123;0;0.0162602;0.0162602;0.0406504;0.105691;0.0406504;0.0731707;0.0406504;0.0650406;0.00813008;0.0162602;0;0;0;0.00813008;0.0325203;0.0406504;0.0731707;0.0406504;0.0569106;0.0569106;0.0569106;0.0731707;0.0325203;0.00813008;0.0406504;0.00813008;0.0406504
0;200193;200041;3;9;1;0;0.00124;0;0.0241935;0.0403226;0.0241935;0.0564516;0.0645161;0.0887097;0.0403226;0.0241935;0.00806452;0.00806452;0.00806452;0;0;0.0241935;0.0645161;0.0241935;0.0564516;0.0725806;0.0403226;0.129032;0.0806452;0.0564516;0.00806452;0.016129;0.00806452;0.00806452;0.016129
0;200242;200041;3;13;1;0;0.0012;0;0.00833333;0.0583333;0.0333333;0.0416667;0.0833333;0.075;0.0666667;0.0333333;0.0416667;0.00833333;0.0166667;0;0;0;0.0333333;0.0166667;0;0.0916667;0.0666667;0.0583333;0.0583333;0.0833333;0.0416667;0.0166667;0.025;0.00833333;0.025
0;200293;200041;3;34;1;0;0.0015;0;0;0.00666667;0;0;0.0266667;0.02;0.00666667;0.02;0.02;0;0;0;0;0.02;0.0733333;0.0733333;0.08;0.133333;0.1;0.126667;0.113333;0.0933333;0.0533333;0.00666667;0.00666667;0.00666667;0.00666667
0;200351;200041;3;2;1;0;0.00123;0;0.0406504;0.0243902;0.00813008;0.0650406;0.0813008;0.0813008;0.0325203;0.0406504;0.00813008;0;0;0.00813008;0;0.00813008;0.0162602;0.0325203;0.0650406;0.105691;0.0894309;0.0731707;0.0650406;0.097561;0.00813008;0.0243902;0;0.0162602;0
0;200400;200041;3;22;1;0;0.00122;0;0.00819672;0.057377;0.0655738;0.0737705;0.0491803;0.0491803;0.0819672;0.00819672;0.00819672;0.00819672;0;0;0;0.00819672;0.057377;0.0409836;0.0327869;0.0819672;0.0409836;0.057377;0.0491803;0.106557;0.0491803;0.0245902;0;0;0.0327869
0;200452;200041;3;20;1;0;0.00123;0;0.0243902;0.0569106;0.0487805;0.0569106;0.0406504;0.0487805;0.0731707;0.0162602;0.0325203;0;0;0;0;0;0.0406504;0.0325203;0.0650406;0.0813008;0.097561;0.0650406;0.0650406;0.0650406;0.0243902;0.00813008;0;0;0.0487805
0;200500;200041;3;33;1;0;0.00147;0;0.0204082;0.00680272;0;0.0204082;0.0408163;0.0136054;0.00680272;0;0;0;0;0;0;0.0272109;0.0952381;0.0884354;0.0612245;0.129252;0.0952381;0.190476;0.0748299;0.0748299;0.0408163;0;0.00680272;0;0
0;200544;200041;3;35;1;1;0.00146;0.00684932;0.00684932;0.0136986;0.0136986;0.0136986;0.0205479;0.0410959;0;0;0.00684932;0;0;0;0;0.0410959;0.0684932;0.0342466;0.0753425;0.143836;0.130137;0.130137;0.109589;0.0479452;0.0479452;0.0136986;0.0136986;0.00684932;0.00684932
0;200606;200041;3;31;1;0;0.00146;0;0.00684932;0.00684932;0.0136986;0.0205479;0.0205479;0.00684932;0.0205479;0.0205479;0;0.00684932;0;0;0;0.0410959;0.0821918;0.0684932;0.116438;0.0958904;0.116438;0.0821918;0.0958904;0.0958904;0.0479452;0.0205479;0.00684932;0;0
