Branch;ID;ParentID;Time;Move;Opponent;Select;Visit;Win
0;140736954336624;140736952474480;11;27;1;0;2e-05;0.416819
0;140737222772384;140736952474480;11;38;1;0;2e-05;0.342386
0;140737088687008;140736952474480;11;50;1;0;2e-05;0.115119
0;9385840;140736952474480;11;47;1;0;2e-05;0
0;9385984;140736952474480;11;14;1;0;2e-05;0.162844
0;140736954882496;140736952474480;11;16;1;0;2e-05;0.391084
0;140737223029216;140736952474480;11;31;1;0;2e-05;0
0;140737223029360;140736952474480;11;32;1;0;2e-05;0.130442
0;9570656;140736952474480;11;26;1;0;2e-05;0.443526
0;140737223092864;140736952474480;11;25;1;1;2e-05;0.47124
0;140736955277760;140736952474480;11;9;1;0;2e-05;0.146343
0;140737223230128;140736952474480;11;35;1;0;2e-05;0.443526
0;9733328;140736952474480;11;36;1;0;2e-05;0.391084
0;140736955307072;140736952474480;11;49;1;0;2e-05;0.47124
0;140736955554432;140736952474480;11;6;1;0;2e-05;0.47124
0;140737223499408;140736952474480;11;13;1;0;2e-05;0.47124
0;11275632;140737223092864;12;27;1;1;1.00001;0.471355
0;140737091253440;11275632;13;17;0;0;0.09475;0.469045
0;140737225494864;11275632;13;21;0;0;0.11048;0.472636
0;11275776;11275632;13;43;0;0;0.0543;0.453152
0;12022080;11275632;13;5;0;1;0.16075;0.480435
0;140737225495008;11275632;13;11;0;0;0.09512;0.469102
0;140737091253616;11275632;13;19;0;0;0.10854;0.472246
0;12022224;11275632;13;48;0;0;0.15271;0.479534
0;140737225495232;11275632;13;42;0;0;0.05438;0.453272
0;140737091253760;11275632;13;24;0;0;0.12162;0.475426
0;12022368;11275632;13;39;0;0;0.04745;0.448598
0;12023664;12022080;14;18;1;0;0.00701;0.460873
0;140737225496816;12022080;14;31;1;0;0.00407;0.517246
0;12024384;12022080;14;41;1;0;0.00399;0.519287
0;140737225497984;12022080;14;38;1;0;0.00389;0.522372
0;140736957364848;12022080;14;40;1;0;0.00483;0.497405
0;12027424;12022080;14;22;1;0;0.00735;0.456178
0;140737225500736;12022080;14;6;1;0;0.0054;0.485825
0;140736957367824;12022080;14;16;1;0;0.00537;0.486075
0;12028432;12022080;14;26;1;0;0.00405;0.520363
0;140737225501600;12022080;14;9;1;0;0.00564;0.482555
0;140736957368976;12022080;14;7;1;0;0.00626;0.472111
0;12030592;12022080;14;36;1;0;0.00144;0.679807
0;140736957370832;12022080;14;50;1;0;0.00688;0.462566
0;140737225504304;12022080;14;32;1;0;0.0032;0.548861
0;12030736;12022080;14;44;1;0;0.00632;0.470347
0;140737091255040;12022080;14;14;1;0;0.00512;0.49377
0;140737225507168;12022080;14;1;1;0;0.006;0.475934
0;12028576;12022080;14;46;1;0;0.00599;0.475674
0;140737091257808;12022080;14;45;1;0;0.00548;0.484371
0;140737225512448;12022080;14;37;1;0;0.00299;0.557672
0;12035584;12022080;14;51;1;0;0.01138;0.421737
0;140736957373856;12022080;14;47;1;0;0.00605;0.473993
0;140737225516336;12022080;14;4;1;0;0.00628;0.471295
0;140736957377440;12022080;14;33;1;1;0.00293;0.559978
0;12039664;12022080;14;8;1;0;0.0084;0.445354
0;140737225516768;12022080;14;35;1;0;0.00385;0.525251
0;140737091261680;12022080;14;13;1;0;0.00454;0.505449
